_Category,_CaptionText,_Year,_MediaType,_MediaWidth,_MediaHeight,_Status,_ImageFile,_ImageWidth,_ImageHeight,_ImageKB,_CaptionID,_ThumbFile,_ThumbWidth,_ThumbHeight,_ThumbKB,_Notes,_tags,_OriginalFile,_OriginalWidth,_OriginalHeight,_OriginalKB
Watercolor,Testing a Theory,2015,Watercolor and pencil,20,16,,Testing_a_Theory.jpg,,,,Testing_a_Theory,Testing_a_Theory_thumb_v2.jpg,,,,,,,,,
Watercolor,Cold Morning,2016,Watercolor and pencil,20,16,,ColdMorning.jpg,,,,ColdMorning,ColdMorning_thumb_v2.jpg,,,,,,,,,
Watercolor,A Few Good Men,2014,Watercolor and pencil,20,16,SOLD -- Prints Available,aFewGoodMen.jpg,,,,aFewGoodMen,aFewGoodMen_thumb_v2.jpg,,,,,,,,,
Watercolor,Happy Hour Friday Night,2013,Watercolor and pencil,20,16,SOLD,HappyHourFridayNight.jpg,,,,HappyHourFridayNight,HappyHourFridayNight_thumb.jpg,,,,,,,,,
Watercolor,Quality Control,2015,Watercolor and pencil,20,16,SOLD,QualityControl.jpg,,,,QualityControl,QualityControl_thumb.jpg,,,,,,,,,
Watercolor,Monday Morning,2016,Watercolor and pencil,20,16,SOLD,MondayMorning.jpg,,,,MondayMorning,MondayMorning_thumb.jpg,,,,,,,,,
Watercolor,Love At First Sight,2014,Watercolor and pencil,20,16,,LoveAtFirstSight.jpg,,,,LoveAtFirstSight,LoveAtFirstSight_thumb.jpg,,,,,,,,,
Watercolor,Botanical I,2013,Watercolor and pencil,8,10,,Botanical1.jpg,,,,Botanical1,Botanical1_thumb.jpg,,,,,,,,,
Watercolor,Botanical II,2015,Watercolor and pencil,8,10,,Botanical2.jpg,,,,Botanical2,Botanical2_thumb.jpg,,,,,,,,,
Watercolor,Botanical III,2016,Watercolor and pencil,8,10,,Botanical3.jpg,,,,Botanical3,Botanical3_thumb.jpg,,,,,,,,,
Watercolor,The Introduction,2014,Watercolor,11,14,Private Collection,TheIntroduction.jpg,,,,TheIntroduction,TheIntroduction_thumb.jpg,,,,,,,,,
Mixed,Killing Time,2016,Mixed Medium,10,10,,KillingTime.jpg,,,,KillingTime,KillingTime_thumb.jpg,88,88,,,,,,,
Mixed,Killing Time II,2015,Mixed Medium,10,10,,KillingTimeII.jpg,1359,1359,,KillingTimeII,KillingTimeII_thumb.jpg,88,88,,,,,,,
